Page Url,Publisher,Agreement ID,Agreement Labeling,Agreement Published,URL,Start Date,End Date,Consortia/Institution,Country,Size,Commnets on size/article output,Cost,Comments on Cost Development,Financial Shift,Risk Sharing,OA Coverage,Fully Open Access Journals Covered,OA License,Article Types,Access Costs,Comments on Acess Costs,Access Coverage,Perpetual Access Rights,Workflow Assessment,Comments on Workflows,Overall Assessment and Comments
https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021eifl/,Association for Computing Machinery,acm2021eifl,ACM “Read and Publish” Agreement,No,,01/01/2021,12/31/2024,EIFL,"Albania, Armenia, Azerbaijan, Congo, Ethiopia, Georgia, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Moldova, Myanmar, Nepal, Palestine, Senegal, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",15,,Cost decrease,"Libraries in 25 countries are eligible for free access to the ACM Digital Library.
In addition, corresponding authors from these 25 countries can publish accepted research articles in open access for free in ACMs fully open access and hybrid journals and conference proceedings.",Free access and publishing,"Not applicable in this case, as publishing is free",Yes,Yes,CC-BY mandatory,"Original research articles, Review articles, Proceedings, Any other article types in the Licensed Materials for which ACM would otherwise charge an APC during the term of this Agreement",0%,,Yes,Yes,Too early to assess,"The workflow arrangements look good, but to early to access in practice",This agreement is an opportunity for researchers in these 25 countries to read and publish in the journals without charge
https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2023caul/,Brill,brill2023caul,Read & Publish Agreement,No,,01/01/2023,12/31/2023,CAUL,Australia,205,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Uncapped agreement,Yes,No,CC-BY variations allowed,"Original research articles, Review articles, Brief communications, Corrections, Additions",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2022caul/,Brill,brill2022caul,Read & Publish Agreement,No,,01/01/2022,12/31/2022,CAUL,Australia,167,"Based on total 2021 output across all CAUL Member Institutions; however, not all members are participating in the agreement",Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Uncapped agreement,Yes,No,CC-BY variations allowed,"Original research articles, Review articles, Brief communications, Corrections, Additions",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2021csiro/,American Chemical Society,acs2021csiro,Offset Benefit Program,No,,07/01/2021,12/31/2024,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,30,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Open access entitlements projected to cover all article output,Yes,Yes,"CC-BY preference, exceptions allowed","Original research articles, Letters",More than 50%,,Yes,No,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023csiro/,AIP Publishing,aip2023csiro,Content Licensing Agreement,No,,01/01/2023,12/31/2023,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,2,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Too early to evaluate,No,No,CC-BY mandatory,"Original research articles, Review articles",5%-20%,,Yes,Yes,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023caul/,AIP Publishing,aip2023caul,American Institute of Physics Open Access Agreement,No,,01/01/2023,12/31/2025,CAUL,Australia,238,,Agreement costs within the range of the previous spending level,,Subscriptions partly converted to OA publishing fees,Cap agreement. Cap amount is never likely to be exceeded.,No,No,CC-BY mandatory,"Original research articles, Review articles",More than 50%,,Yes,Yes,Too early to assess,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2024eifl/,IWA Publishing,iwa2024eifl,IWA Publishing Journals,Yes,https://www.eifl.net/apcs/iwa-publishing-free-open-access-publishing,01/01/2024,12/31/2026,EIFL,"Albania, Armenia, Azerbaijan, Congo (DR), Côte d’Ivoire, Ethiopia, Ghana, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Maldives, Myanmar, Nepal, North Macedonia, Moldova, Senegal, Sudan, Uganda, Uzbekistan, Tanzania, Zambia, Zimbabwe",456,,Agreement costs within the range of the previous spending level,,No cost for OA publishing fees or subscriptions,No risk to 25 EIFL partner countries,Yes,Yes,CC-BY mandatory,Original research articles,0%,,Yes,No,This agreement provides 25 EIFL partner countries with free reading access to 15 journals and free publishing,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2020eifl/,IWA Publishing,iwa2020eifl,EIFL IWA Publishing Journals Agreement,Yes,https://www.eifl.net/apcs/iwa-publishing-free-open-access-publishing,10/15/2020,12/31/2023,EIFL,"Albania, Armenia, Azerbaijan, Belarus, Congo, Ethiopia, Ghana, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Nepal, Senegal, Sudan, Tanzania, Uganda, Uzbekistan, Zambia, Zimbabwe",39,,Agreement costs within the range of the previous spending level,,No previous subscription spend,,Yes,Yes,CC-BY mandatory,Original research articles,0%,,Yes,No,Ok,,
https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2024eifl/,European Respiratory Society,ers2024eifl,ERS Journals Agreement,Yes,https://www.eifl.net/news/eifl-european-respiratory-society-renew-agreement,01/01/2024,12/31/2026,EIFL,"Albania, Armenia, Azerbaijan, Botswana, Congo, Côte d’Ivoire, Ethiopia, Fiji, Georgia, Ghana, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, North Macedonia, Palestine, Senegal, Serbia, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",1,,Agreement costs within the range of the previous spending level,"The agreement provides EIFL partner countries with free or deeply discounted access to eight high-impact journals in the physical and biological sciences, and waived Article Processing Charges (APCs) for open access publishing in fully open access and hybrid journals.",No previous subscription spend for these countries,No risk for 32 countries,Yes,Yes,CC-BY mandatory,Original research articles,0%,,Yes,No,Ok,,"This is a good agreement for EIFL partner countries. Countries that are eligible for free access and no publishing fees:
"
https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2021eifl/,European Respiratory Society,ers2021eifl,EIFL European Respiratory Journal Agreement 2021-2023,Yes,https://www.eifl.net/apcs/european-respiratory-journal-free-open-access-publishing,01/01/2021,12/31/2023,EIFL,"Albania, Armenia, Azerbaijan, Belarus, Botswana, Congo, Ethiopia, Fiji, Georgia, Ghana, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, Palestine, Senegal, Serbia, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",1,,Agreement costs within the range of the previous spending level,,No previous subscription spend for these countries,,No,No,CC-BY mandatory,Original research articles,0%,,No,No,Ok,,
